route_id,route_code,stop_name,stop_id,stop_lat,stop_lon,heading_degrees,transfer_to_route_id,stop_type,parent_stop_id,route
112,4,111th Street & Hamlin,12382,41.691405,-87.715268,268,,bus,12382,112
112,4,111th Street & Harding Terminal,14178,41.691142,-87.71956,357,53A-North^;53A-South^,bus,14178,112
112,4,111th Street & Homan,12378,41.691555,-87.705573,269,,bus,12378,112
112,4,111th Street & Hoyne,12364,41.692008,-87.673863,257,,bus,12364,112
112,4,111th Street & Kedzie,18599,41.691638,-87.701211,267,52A-North^;52A-South^,bus,18599,112
112,4,111th Street & Lawndale,17748,41.691437,-87.713615,269,,bus,17748,112
112,4,111th Street & Longwood,12363,41.692032,-87.671638,268,,bus,12363,112
112,4,111th Street & Rockwell,12369,41.691825,-87.685752,265,,bus,12369,112
112,4,111th Street & Sacramento,12374,41.691707,-87.696195,270,,bus,12374,112
112,4,111th Street & Spaulding,12377,41.691595,-87.703173,269,,bus,12377,112
112,4,111th Street & St. Louis,12379,41.691515,-87.708005,270,,bus,12379,112
112,4,111th Street & Washtenaw,12370,41.691785,-87.688358,270,,bus,12370,112
112,4,111th Street & Western,12367,41.691882,-87.680888,267,,bus,12367,112
112,4,95th Red Line Station,14010,41.722512,-87.624019,202,108-North^;108-South^;29-North^;29-South^;Red*,bus,14010,112
112,4,95th Street & Eggleston,3456,41.721714,-87.63326,269,,bus,3456,112
112,4,95th Street & Halsted,17433,41.721566,-87.643647,270,108-South^;8A-South^,bus,17433,112
112,4,95th Street & Morgan,3462,41.721513,-87.647909,268,,bus,3462,112
112,4,95th Street & Normal,3457,41.721675,-87.635774,270,,bus,3457,112
112,4,95th Street & Peoria,3461,41.72154,-87.645492,269,,bus,3461,112
112,4,95th Street & Princeton,3455,41.721743,-87.630971,270,,bus,3455,112
112,4,95th Street & Union,3459,41.721603,-87.640612,275,108-North^,bus,3459,112
112,4,95th Street & Wallace,3458,41.721645,-87.638205,269,,bus,3458,112
112,4,95th Street & Wentworth,15160,41.721769,-87.629086,268,9-North^;9-South^;95-East^;95-West^,bus,15160,112
112,4,Monterey & Esmond,12361,41.69134,-87.668317,297,,bus,12361,112
112,4,Monterey & Hale ,12362,41.691977,-87.670303,284,,bus,12362,112
112,4,Monterey & Hermosa,12360,41.690825,-87.666695,292,,bus,12360,112
112,4,Vincennes & 100th Place,6575,41.711503,-87.654328,192,,bus,6575,112
112,4,Vincennes & 103rd Street,6577,41.70722,-87.655918,197,103-West^,bus,6577,112
112,4,Vincennes & 104th Street,12352,41.705098,-87.656756,239,9-North^;9-South^,bus,12352,112
112,4,Vincennes & 105th Street,12353,41.703278,-87.65738,194,,bus,12353,112
112,4,Vincennes & 107th Street,15472,41.699042,-87.658985,196,,bus,15472,112
112,4,Vincennes & 108th Place,12356,41.696848,-87.660067,208,,bus,12356,112
112,4,Vincennes & 109th Street,12357,41.69591,-87.660735,208,,bus,12357,112
112,4,Vincennes & 111th Street,2928,41.691842,-87.663627,225,111-North^;111-South^,bus,2928,112
112,4,Vincennes & 95th Street,6569,41.721063,-87.65088,194,95-East^;95-West^,bus,6569,112
112,4,Vincennes & 96th Street,6570,41.719372,-87.651483,186,,bus,6570,112
